osm_id,code,fclass,name
358636761,3100,christian,Olivet Baptist Church
358636763,3100,christian,Antioch Christian Church
358636766,3100,christian,First Church of the Open Bible
358636783,3100,christian,The Church of Jesus Christ of Latter-day Saints
358636791,3100,christian,Countryside Christian Church
358636818,3100,christian,Grace Community Baptist Church
358636826,3100,christian,Saint Stephens Episcopal Church
358636995,3105,christian_methodist,Oatville Evangelical Methodist Church
358636997,3100,christian,Calvary Assembly of God Church
358636999,3100,christian,Oaklawn Place Baptist Church
358637002,3100,christian,Bel Aire Church of the Nazarene
358637003,3100,christian,Church of the Resurrection
358637006,3100,christian,Town and Country Christian Church
358637008,3100,christian,Church of the Resurrection
358637011,3104,christian_lutheran,Christ Lutheran Church
358637013,3100,christian,Grace Church of the Nazarene
358637014,3100,christian,Riverview Baptist Church
358637017,3100,christian,South Riverside Baptist Church
358637019,3104,christian_lutheran,Good Shepherd Lutheran Church
358637022,3100,christian,Arkansas Valley Christian Church
358637024,3100,christian,Colonial Heights Assembly of God Church
358637026,3100,christian,South Seneca Church of Christ
358637030,3100,christian,Church of the Bible Covenant
358637033,3100,christian,Oakview Christian Church
358637035,3100,christian,Midway Baptist Church
358637037,3100,christian,Harmony Baptist Church
358637039,3100,christian,Glenville Bible Baptist Church
358637041,3100,christian,Faith Christian Church
358637462,3100,christian,Community Congregational Church
358638443,3100,christian,First United Church
358638445,3100,christian,Saint Benedict Church
358638459,3100,christian,Westview Church
358638464,3100,christian,Evangelical Church
358638470,3100,christian,Strassburg Church
358638472,3100,christian,Alexanderwohl Church
358638479,3100,christian,Whitewater Center Church
358638483,3100,christian,Fairview Chapel
358638841,3100,christian,Advent Church
358639296,3102,christian_catholic,Saint Catherines Mexican Catholic Church
358639302,3100,christian,Full Gospel Tabernacle
358639305,3100,christian,Emanuel Full Gospel Tabernacle
358639307,3100,christian,West Side Baptist Church
358639308,3100,christian,First Church of the Nazarene
358639313,3100,christian,Four Square Gospel Church
358639315,3100,christian,First Church of God
358639318,3102,christian_catholic,Sacred Heart Catholic Church
358639323,3100,christian,Second Presbyterian Church
358639325,3100,christian,First Friends Church
358639326,3100,christian,First Southern Baptist Church
358639331,3105,christian_methodist,Grace Methodist Church
358639334,3100,christian,Church of God of Prophecy
358639337,3100,christian,Salvation Army Citadel
358639339,3100,christian,Christian Assembly Church
358639341,3100,christian,First Assembly of God Church
358639343,3105,christian_methodist,Mount Olive African Methodist Episcopal Church
358639344,3104,christian_lutheran,Saint Marks Evangelical Lutheran Church
358639348,3100,christian,First Baptist Church
358639351,3100,christian,First United Methodist Church
358639356,3100,christian,Calvary Evangelical United Brethren Church
358639358,3100,christian,First Church of Christ Science
358639361,3104,christian_lutheran,Messiah Evangelical Lutheran Church
358639362,3100,christian,First Congregational Church
358639369,3100,christian,First Christian Church
358639371,3100,christian,Saint James Baptist Church
358639387,3100,christian,Antioch Baptist Church
358639389,3100,christian,Calvary Tabernacle First United Pentecostal Church
358639393,3100,christian,Church of Christ
358639396,3100,christian,Church of God in Prophecy
358639398,3100,christian,Church of the Nazarene
